salary,age,college,grad,comten,ceoten,sales,profits,mktval,lsalary,lsales,lmktval,comtensq,ceotensq,profmarg
1161,49,1,1,9,2,6200,966,23200,7.0570369,8.7323046,10.05191,81,4,15.58065
600,43,1,1,10,10,283,48,1100,6.3969302,5.6454468,7.0030661,100,100,16.96113
379,51,1,1,9,3,169,40,1100,5.9375358,5.129899,7.0030661,81,9,23.66864
651,55,1,0,22,22,1100,-54,1000,6.4785089,7.0030661,6.9077549,484,484,-4.909091
497,44,1,1,8,6,351,28,387,6.20859,5.860786,5.958425,64,36,7.9772081
1067,64,1,1,7,7,19000,614,3900,6.9726062,9.8521938,8.2687321,49,49,3.2315791
945,59,1,0,35,10,536,24,623,6.8511848,6.2841339,6.434546,1225,100,4.477612
1261,63,1,1,32,8,4800,191,2100,7.1396599,8.4763708,7.649693,1024,64,3.979167
503,47,1,1,4,4,610,7,454,6.2205901,6.4134588,6.1180968,16,16,1.147541
1094,64,1,1,39,5,2900,230,3900,6.9975958,7.972466,8.2687321,1521,25,7.931035
601,54,1,1,26,7,1200,34,533,6.3985949,7.0900769,6.278522,676,49,2.833333
355,66,1,0,39,8,560,8,477,5.872118,6.3279371,6.1675172,1521,64,1.428571
1200,72,1,0,37,37,796,35,678,7.0900769,6.6795988,6.5191469,1369,1369,4.3969851
697,51,1,0,25,1,8200,234,5700,6.5467849,9.0118895,8.648221,625,1,2.853658
1041,63,1,1,21,11,4300,91,1400,6.947937,8.3663702,7.2442269,441,121,2.1162789
245,44,1,1,7,7,135,24,558,5.5012579,4.9052749,6.3243589,49,49,17.777781
817,68,1,0,38,4,1300,55,847,6.7056389,7.1701198,6.7417011,1444,16,4.2307692
1675,71,0,0,31,12,674,115,1200,7.4235678,6.5132298,7.0900769,961,144,17.062309
971,72,1,1,33,24,1400,69,609,6.8783259,7.2442269,6.411819,1089,576,4.9285712
609,58,1,0,36,1,1100,69,880,6.411819,7.0030661,6.779922,1296,1,6.272727
470,60,1,1,20,6,2300,210,2200,6.1527328,7.740664,7.6962128,400,36,9.130435
867,59,1,0,36,14,884,81,1500,6.765039,6.7844572,7.313221,1296,196,9.1628962
752,54,1,0,32,4,1600,193,3200,6.622736,7.377759,8.0709057,1024,16,12.0625
246,51,1,0,8,8,78,13,458,5.505332,4.356709,6.1268692,64,64,16.66667
825,56,1,1,4,4,10700,295,5900,6.715384,9.2779989,8.6827078,16,16,2.757009
358,50,1,1,23,4,99,25,2300,5.8805332,4.59512,7.740664,529,16,25.252529
1162,58,1,0,24,6,3800,226,1800,7.057898,8.2427559,7.495542,576,36,5.9473691
270,43,1,0,15,2,150,28,713,5.5984221,5.0106349,6.5694809,225,4,18.66667
829,56,1,0,14,8,2200,184,1500,6.7202201,7.6962128,7.313221,196,64,8.363636
300,77,0,0,45,26,6900,483,4700,5.703783,8.8392763,8.4553165,2025,676,7
1627,62,1,1,13,4,8300,596,9100,7.3944931,9.0240107,9.1160297,169,16,7.1807232
1237,63,1,1,37,9,4600,108,6200,7.1204438,8.4338112,8.7323046,1369,81,2.347826
540,61,1,1,37,1,5200,549,5600,6.2915692,8.5564137,8.6305218,1369,1,10.55769
1798,66,1,1,21,14,24300,338,12500,7.4944301,10.09823,9.4334841,441,196,1.390947
474,40,1,0,18,1,2700,117,2000,6.1612072,7.9010072,7.600903,324,1,4.333333
1336,60,1,1,21,13,4500,562,4300,7.1974349,8.4118328,8.3663702,441,169,12.48889
541,51,1,0,30,4,1400,82,1200,6.2934189,7.2442269,7.0900769,900,16,5.8571429
129,66,1,1,4,4,59,28,412,4.8598118,4.077538,6.0210228,16,16,47.45763
1700,54,1,1,21,5,6800,1200,20400,7.4383841,8.8246775,9.9232903,441,25,17.64706
1750,66,1,1,31,24,16200,1400,17900,7.467371,9.6927662,9.7925558,961,576,8.6419754
624,61,1,1,21,13,1100,109,934,6.436151,7.0030661,6.8394771,441,169,9.909091
791,66,1,0,14,8,2300,-60,487,6.6732979,7.740664,6.1882639,196,64,-2.608696
1487,51,1,0,3,3,22200,182,2800,7.3045158,10.00785,7.9373751,9,9,.81981981
2021,56,1,0,34,3,51300,2700,42900,7.6113482,10.84545,10.66663,1156,9,5.2631578
1550,47,1,1,19,3,1100,120,4900,7.3460102,7.0030661,8.4969902,361,9,10.90909
401,64,1,0,44,8,571,57,670,5.9939609,6.3473892,6.507277,1936,64,9.9824867
1295,62,1,0,8,8,10700,1300,16400,7.166266,9.2779989,9.7050362,64,64,12.14953
449,56,1,0,31,1,661,37,538,6.1070228,6.4937539,6.287858,961,1,5.597579
456,56,1,1,9,3,381,34,6700,6.1224928,5.9428,8.8098631,81,9,8.9238844
1142,53,1,1,30,1,28000,1900,26300,7.0405359,10.23996,10.17732,900,1,6.7857141
577,64,1,0,26,2,3000,287,5700,6.357842,8.0063677,8.648221,676,4,9.5666666
600,56,1,1,18,7,11700,-40,4000,6.3969302,9.3673439,8.2940493,324,49,-.34188041
649,44,1,1,4,4,336,17,475,6.4754329,5.817111,6.1633148,16,16,5.0595241
822,60,1,0,22,20,896,77,752,6.71174,6.7979398,6.622736,484,400,8.59375
1080,52,1,0,18,5,388,55,1600,6.9847159,5.9610052,7.377759,324,25,14.17526
1738,54,0,0,34,12,10700,842,15400,7.4604902,9.2779989,9.6421232,1156,144,7.8691592
581,54,1,0,19,19,408,23,403,6.3647509,6.0112672,5.9989371,361,361,5.6372552
912,54,1,0,9,9,2600,239,2400,6.81564,7.8632669,7.7832241,81,81,9.1923075
650,69,1,0,37,13,261,40,817,6.4769731,5.5645199,6.7056389,1369,169,15.32567
2199,52,1,1,8,8,5600,475,6300,7.6957579,8.6305218,8.7483053,64,64,8.4821424
609,53,1,1,15,15,567,34,498,6.411819,6.3403592,6.2105999,225,225,5.9964728
1946,73,1,0,25,21,7800,484,8000,7.5735312,8.9618788,8.9871969,625,441,6.2051282
552,52,1,0,30,1,2800,308,3500,6.3135481,7.9373751,8.1605186,900,1,11
481,59,1,1,26,4,611,90,667,6.1758671,6.4150972,6.50279,676,16,14.72995
526,45,1,0,8,7,2400,106,2000,6.2653012,7.7832241,7.600903,64,49,4.416667
471,60,1,0,3,2,160,7,425,6.1548581,5.0751739,6.0520892,9,4,4.375
630,56,1,0,29,1,1700,-55,420,6.4457202,7.4383841,6.0402551,841,1,-3.2352941
622,57,1,0,35,4,2500,143,1200,6.43294,7.8240461,7.0900769,1225,16,5.7199998
999,52,1,0,28,17,159,21,398,6.906755,5.0689039,5.9864521,784,289,13.20755
585,60,1,1,36,10,1700,33,449,6.3716121,7.4383841,6.1070228,1296,100,1.9411761
1107,57,1,0,17,6,2200,149,1100,7.009409,7.6962128,7.0030661,289,36,6.772727
1099,59,1,0,34,10,8600,182,1800,7.0021558,9.0595179,7.495542,1156,100,2.1162789
425,86,1,1,13,13,36,11,644,6.0520892,3.583519,6.4676991,169,169,30.555559
2792,40,1,0,11,11,534,35,888,7.934514,6.280396,6.7889719,121,121,6.554307
350,54,1,0,31,4,1000,46,812,5.857933,6.9077549,6.699501,961,16,4.5999999
363,58,1,1,36,6,717,80,880,5.894403,6.5750761,6.779922,1296,36,11.1576
2265,63,1,1,35,6,18000,1700,18800,7.7253299,9.7981272,9.8416119,1225,36,9.4444447
377,45,1,0,7,5,238,57,1200,5.9322448,5.47227,7.0900769,49,25,23.949579
879,63,1,1,21,9,1700,212,4900,6.7787852,7.4383841,8.4969902,441,81,12.47059
720,49,1,0,12,12,672,23,1400,6.5792508,6.5102582,7.2442269,144,144,3.4226191
950,63,1,0,27,14,2600,6,1500,6.856462,7.8632669,7.313221,729,196,.2307692
1143,67,0,0,23,3,1800,56,918,7.0414119,7.495542,6.822197,529,9,3.1111109
1064,58,1,0,27,3,3500,195,2600,6.96979,8.1605186,7.8632669,729,9,5.5714288
1253,60,1,1,36,5,2600,142,3700,7.133296,7.8632669,8.2160883,1296,25,5.4615378
462,58,1,1,23,0,1400,50,769,6.1355648,7.2442269,6.6450911,529,0,3.571429
174,69,1,0,13,13,29,6,390,5.1590552,3.367296,5.9661469,169,169,20.689659
474,63,1,0,41,4,2200,175,2600,6.1612072,7.6962128,7.8632669,1681,16,7.954545
1248,48,1,1,21,7,3500,423,7300,7.1292982,8.1605186,8.8956299,441,49,12.08571
1101,62,1,1,32,3,954,96,1200,7.003974,6.8606639,7.0900769,1024,9,10.06289
348,43,1,1,12,10,586,79,1400,5.8522019,6.3733201,7.2442269,144,100,13.48123
650,55,1,1,28,5,5700,-438,817,6.4769731,8.648221,6.7056389,784,25,-7.6842098
875,58,1,1,32,10,5300,308,2200,6.7742238,8.5754623,7.6962128,1024,100,5.8113208
1600,61,1,0,4,1,12300,877,9400,7.377759,9.4173546,9.1484652,16,1,7.1300812
1500,55,1,1,30,4,7900,665,4800,7.313221,8.974618,8.4763708,900,16,8.4177217
323,39,1,1,15,3,637,63,517,5.7776518,6.456769,6.2480431,225,9,9.89011
459,59,1,0,33,3,785,40,1400,6.1290498,6.6656842,7.2442269,1089,9,5.095541
925,56,1,1,26,12,3300,67,2200,6.8297939,8.1016779,7.6962128,676,144,2.030303
375,46,1,1,4,4,599,20,501,5.9269261,6.3952618,6.2166061,16,16,3.3388979
447,53,1,0,4,1,143,16,527,6.1025591,4.9628448,6.2672,16,1,11.18881
1340,55,1,0,13,10,1400,131,2900,7.2004251,7.2442269,7.972466,169,100,9.3571424
1749,57,1,1,26,11,8100,40,10000,7.4667988,8.9996185,9.2103395,676,121,.49382719
491,43,1,1,21,2,561,54,521,6.196444,6.329721,6.2557502,441,4,9.6256685
5299,64,1,0,42,13,2400,119,1500,8.5752745,7.7832241,7.313221,1764,169,4.958333
431,58,1,1,33,3,815,36,550,6.0661082,6.7031879,6.3099179,1089,9,4.4171782
729,50,1,1,15,3,2000,182,2600,6.5916739,7.600903,7.8632669,225,9,9.1000004
1284,54,1,1,32,3,12300,1300,19600,7.1577349,9.4173546,9.8832846,1024,9,10.56911
1373,57,1,0,36,8,14300,1600,23600,7.2247529,9.5680151,10.069,1296,64,11.18881
989,40,1,0,18,5,439,30,582,6.8966942,6.0844989,6.3664699,324,25,6.8337131
515,52,1,1,27,1,1100,51,889,6.2441669,7.0030661,6.7900972,729,1,4.636364
1301,50,1,1,19,15,1800,130,1600,7.1708879,7.495542,7.377759,361,225,7.2222219
834,58,1,0,35,1,4400,63,890,6.726233,8.3893595,6.7912221,1225,1,1.431818
849,46,1,1,24,24,538,36,473,6.7440591,6.287858,6.1590948,576,576,6.6914501
100,61,1,1,26,26,2700,394,10100,4.6051698,7.9010072,9.2202911,676,676,14.59259
679,62,1,0,40,6,4900,-463,1400,6.5206208,8.4969902,7.2442269,1600,36,-9.4489794
567,56,1,0,31,10,597,65,1700,6.3403592,6.3919172,7.4383841,961,100,10.88777
559,54,1,0,22,2,2100,13,686,6.326149,7.649693,6.5308781,484,4,.61904758
704,52,1,1,6,6,50,8,903,6.556778,3.9120231,6.8057232,36,36,16
308,45,1,1,14,14,210,39,1900,5.7301002,5.3471069,7.5496092,196,196,18.57143
1392,48,1,1,6,6,4800,51,1100,7.2384968,8.4763708,7.0030661,36,36,1.0625
389,55,1,0,29,4,478,38,420,5.9635792,6.169611,6.0402551,841,16,7.949791
790,69,1,0,45,37,1200,140,3200,6.6720328,7.0900769,8.0709057,2025,1369,11.66667
396,80,1,0,58,28,513,53,963,5.9814138,6.2402759,6.8700528,3364,784,10.33138
398,54,1,0,4,4,633,69,1800,5.9864521,6.45047,7.495542,16,16,10.90047
707,46,1,1,6,1,130,26,1200,6.5610309,4.8675351,7.0900769,36,1,20
984,60,1,0,7,4,1500,135,1700,6.8916259,7.313221,7.4383841,49,16,9
410,55,1,0,36,20,501,34,590,6.0161572,6.2166061,6.3801231,1296,400,6.786427
1095,60,1,1,33,5,27600,1400,17100,6.9985089,10.22557,9.7468338,1089,25,5.072464
694,61,1,1,35,19,4200,75,1000,6.5424719,8.3428402,6.9077549,1225,361,1.785714
834,61,1,1,32,0,7600,364,5300,6.726233,8.9359035,8.5754623,1024,0,4.789474
1630,39,1,1,8,8,227,27,822,7.3963351,5.4249501,6.71174,64,64,11.89427
493,55,1,1,4,1,1300,80,834,6.2005091,7.1701198,6.726233,16,1,6.1538458
625,57,0,0,36,9,1400,87,979,6.4377518,7.2442269,6.8865318,1296,81,6.2142859
483,52,1,1,18,14,1000,35,548,6.180017,6.9077549,6.3062749,324,196,3.5
733,60,1,0,8,8,347,18,778,6.597146,5.8493252,6.6567259,64,64,5.1873202
2102,67,1,1,41,20,10300,1700,45400,7.6506448,9.2398996,10.72327,1681,400,16.50485
853,58,1,0,34,34,818,33,411,6.7487602,6.706862,6.0185928,1156,1156,4.0342302
345,54,1,1,33,0,994,56,781,5.843544,6.9017372,6.6605749,1089,0,5.6338029
800,57,1,1,12,9,1800,32,479,6.6846118,7.495542,6.1717,144,81,1.777778
764,55,1,1,31,16,1100,145,2100,6.6385679,7.0030661,7.649693,961,256,13.18182
806,59,1,1,3,3,3000,257,3900,6.6920838,8.0063677,8.2687321,9,9,8.5666666
310,40,1,0,18,1,2400,60,1300,5.7365718,7.7832241,7.1701198,324,1,2.5
1119,61,1,0,34,9,2500,71,1200,7.0201912,7.8240461,7.0900769,1156,81,2.8399999
1287,59,1,1,4,3,4700,222,2700,7.160069,8.4553165,7.9010072,16,9,4.7234039
1170,57,1,1,9,3,1900,208,5600,7.0647588,7.5496092,8.6305218,81,9,10.94737
880,62,1,0,36,12,5300,229,4000,6.779922,8.5754623,8.2940493,1296,144,4.320755
1091,33,1,0,9,9,181,36,1300,6.9948502,5.1984968,7.1701198,81,81,19.8895
1100,65,1,0,18,6,563,-271,544,7.0030661,6.3332801,6.2989488,324,36,-48.134991
650,53,1,1,5,4,1482,40,557,6.4769731,7.3011479,6.3225651,25,16,2.699055
607,38,1,1,7,3,231,38,599,6.4085288,5.4424181,6.3952618,49,9,16.45022
1133,63,1,0,9,9,870,37,686,7.0326238,6.7684932,6.5308781,81,81,4.2528729
393,58,1,1,36,6,285,40,956,5.9738102,5.6524892,6.8627582,1296,36,14.03509
605,53,1,0,16,4,422,30,505,6.4052291,6.0450048,6.2245579,256,16,7.109005
1444,59,1,1,2,2,6204,401,10700,7.2751722,8.7329493,9.2779989,4,4,6.463572
1033,62,1,1,30,1,5400,478,7300,6.9402218,8.5941544,8.8956299,900,1,8.8518515
1142,50,1,1,11,3,2600,166,2200,7.0405359,7.8632669,7.6962128,121,9,6.3846149
537,46,1,1,20,20,1200,17,669,6.2859979,7.0900769,6.505784,400,400,1.416667
693,42,1,0,17,12,1400,206,3000,6.5410299,7.2442269,8.0063677,289,144,14.71429
439,57,1,1,26,12,2600,280,3800,6.0844989,7.8632669,8.2427559,676,144,10.76923
358,64,1,0,43,11,584,45,423,5.8805332,6.3699012,6.0473719,1849,121,7.7054801
1276,64,1,0,41,17,635,52,1300,7.151485,6.4536252,7.1701198,1681,289,8.1889763
873,41,1,1,2,2,149,21,567,6.771935,5.0039458,6.3403592,4,4,14.09396
537,57,1,1,35,1,11400,210,4800,6.2859979,9.3413687,8.4763708,1225,1,1.842105
713,57,1,1,12,2,1600,55,1300,6.5694809,7.377759,7.1701198,144,4,3.4375
1350,68,1,1,5,5,3300,92,2100,7.20786,8.1016779,7.649693,25,25,2.787879
1268,47,1,0,20,4,1100,47,2500,7.145196,7.0030661,7.8240461,400,16,4.272727
465,64,1,1,31,3,2400,326,2400,6.1420369,7.7832241,7.7832241,961,9,13.58333
693,46,1,1,7,3,2200,44,533,6.5410299,7.6962128,6.278522,49,9,2
369,49,1,1,4,1,65,-132,1200,5.9107971,4.174387,7.0900769,16,1,-203.0769
381,54,1,0,30,2,2700,386,4500,5.9428,7.9010072,8.4118328,900,4,14.2963
467,49,1,1,13,0,513,49,534,6.1463289,6.2402759,6.280396,169,0,9.5516567
559,57,1,1,34,16,605,56,653,6.326149,6.4052291,6.4815769,1156,256,9.2561979
218,57,1,1,33,5,504,41,421,5.3844948,6.2225761,6.0426331,1089,25,8.1349211
264,63,1,0,42,3,334,43,480,5.5759492,5.811141,6.1737862,1764,9,12.87425
185,58,1,0,39,1,766,49,560,5.220356,6.6411819,6.3279371,1521,1,6.3968668
387,71,1,1,32,13,432,28,477,5.958425,6.0684261,6.1675172,1024,169,6.481482
2220,63,1,1,18,18,277,-80,540,7.7052631,5.6240182,6.2915692,324,324,-28.880871
445,69,1,0,23,0,249,31,828,6.098074,5.5174532,6.7190132,529,0,12.4498
